r,z,intensity
3,1,37.8656578705
3,2,42.8091106291
3,3,45.0446528243
3,4,44.4145583666
3,5,42.9658886894
3,6,42.1289467874
3,7,40.3384581595
3,8,38.2444821732
3,9,38.1535652921
3,10,38.6463545007
3,11,37.3206655711
3,12,34.5236918006
3,13,31.5858674251
3,14,31.2885321101
3,15,32.2989970182
3,16,34.6623169955
3,17,36.0817307692
3,18,36.9971520114
3,19,35.9451669596
3,20,35.7614009486
3,21,34.2243920413
3,22,33.8844221106
3,23,35.0660496424
3,24,36.227826087
3,25,41.4257028112
3,26,43.4151857835
3,27,45.6382857143
3,28,46.5698356808
3,29,46.7662881052
3,30,44.9625076829
3,31,43.5936908517
3,32,42.6592833876
3,33,40.5407015222
3,34,37.8819112628
3,35,34.268989547
3,36,33.5572881356
3,37,31.8573551263
3,38,32.2005878031
3,39,29.2642089094
3,40,26.88091354
3,41,28.4757914339
3,42,28.2273948075
3,43,26.7978927203
3,44,28.038961039
3,45,27.2761578045
3,46,20.7799043062
3,47,13.619047619
6,1,51.3798519183
6,2,66.6535645057
6,3,78.02915804
6,4,82.6113861386
6,5,79.3993589744
6,6,85.3455431252
6,7,89.6572130415
6,8,89.5439599714
6,9,82.6015070922
6,10,76.7223867964
6,11,72.7160522098
6,12,71.0034213099
6,13,65.4063844238
6,14,77.9772250524
6,15,76.7561186294
6,16,81.9977628635
6,17,84.8972650771
6,18,83.0260115607
6,19,82.2434646898
6,20,75.9445037353
6,21,79.5948623853
6,22,81.4714611872
6,23,81.3666292555
6,24,86.8043124491
6,25,86.0336599915
6,26,93.9108341323
6,27,98.5209397344
6,28,98.8120638086
6,29,97.8158153242
6,30,96.7307880568
6,31,93.3388157895
6,32,90.3196217494
6,33,83.6524789523
6,34,77.9876367095
6,35,71.2039949001
6,36,68.6303030303
6,37,65.6925810751
6,38,64.9431372549
6,39,58.2919448153
6,40,58.9794392523
6,41,53.3930804502
6,42,53.1414189837
6,43,51.9501438159
6,44,50.2496626181
6,45,35.2166859791
6,46,20.2857142857
6,47,0
9,1,56.4185463659
9,2,83.8538392456
9,3,98.7941977501
9,4,106.567404427
9,5,120.144230769
9,6,124.586007517
9,7,123.22663769
9,8,118.910897436
9,9,108.454089164
9,10,106.788095238
9,11,109.891629297
9,12,112.637692308
9,13,114.050833672
9,14,109.876997399
9,15,117.313798836
9,16,115.974303136
9,17,116.02464628
9,18,112.387677725
9,19,106.166737378
9,20,111.122292419
9,21,112.590327169
9,22,115.542034371
9,23,121.050049554
9,24,114.968968969
9,25,121.606146841
9,26,124.755716005
9,27,124.785927251
9,28,124.871310508
9,29,124.758035173
9,30,120.327433628
9,31,116.986414649
9,32,111.650266746
9,33,107.339834515
9,34,98.4201370585
9,35,94.0867287544
9,36,87.9519774011
9,37,91.391470401
9,38,85.1324957167
9,39,88.0558624923
9,40,78.2862923622
9,41,83.0285035629
9,42,79.3911217756
9,43,73.6166807077
9,44,61.2138728324
9,45,0
9,46,0
9,47,0
12,1,58.0893234672
12,2,91.5443979544
12,3,114.901752956
12,4,123.345128746
12,5,138.206113801
12,6,133.040558511
12,7,126.214285714
12,8,120.057170859
12,9,125.443940643
12,10,124.672325976
12,11,124.93545611
12,12,124.714285714
12,13,125.205574913
12,14,125.526584432
12,15,123.673827269
12,16,124.801494629
12,17,121.590297791
12,18,118.907216495
12,19,118.121486422
12,20,118.214355949
12,21,124.030511811
12,22,127.35042735
12,23,124.673024523
12,24,126.900821226
12,25,126.241811847
12,26,123.552173913
12,27,119.600992204
12,28,118.905963303
12,29,115.10318076
12,30,109.949887809
12,31,107.364323507
12,32,106.542319749
12,33,105.560640732
